   No.   File  Line   Col. Cls.  Mthd.  Rep.  Tok.     Text
     0     0     1     1    -1    -1     0     121  STARTFILE C:\javasrc\java\nio\Bits.java
     1     0    26     1    -1    -1     0       5  package
     2     0    26     9    -1    -1     0     111  java.nio
     3     0    26    17    -1    -1     0     102  ;
     4     0    28     1    -1    -1     1      49  import
     5     0    28     8    -1    -1     1     111  java.security.AccessController
     6     0    28    38    -1    -1     1     102  ;
     7     0    29     1    -1    -1     1      49  import
     8     0    29     8    -1    -1     1     111  java.security.PrivilegedAction
     9     0    29    38    -1    -1     1     102  ;
    10     0    30     1    -1    -1     1      49  import
    11     0    30     8    -1    -1     1     111  sun.misc.Unsafe
    12     0    30    23    -1    -1     1     102  ;
    13     0    31     1    -1    -1     1      49  import
    14     0    31     8    -1    -1     1     111  sun.misc.VM
    15     0    31    19    -1    -1     1     102  ;
    16     0    37     1     0    -1     0     122  STARTCLASS
    17     0    37     1     0    -1     0      24  class
    18     0    37     7     0    -1     0     111  Bits
    19     0    37    12     0    -1     0      63  {
    20     0    37    12     0     0     0     123  STARTMETHOD
    21     0    39     5     0     0     0      41  private
    22     0    39    13     0     0     0     111  Bits
    23     0    39    17     0     0     0      59  (
    24     0    39    18     0     0     0      60  )
    25     0    39    20     0     0     0      63  {
    26     0    39    22     0     0     0      64  }
    27     0    39    22     0     0     0     124  ENDMETHOD
    28     0    39    22     0     1     0     125  STARTMETHOD
    29     0    44     5     0     1     0      45  static
    30     0    44    12     0     1     0      12  short
    31     0    44    18     0     1     0     111  swap
    32     0    44    22     0     1     0      59  (
    33     0    44    23     0     1     0      12  short
    34     0    44    29     0     1     0     111  x
    35     0    44    30     0     1     0      60  )
    36     0    44    32     0     1     0      63  {
    37     0    45     9     0     1     0      19  return
    38     0    45    16     0     1     0      59  (
    39     0    45    17     0     1     0      12  short
    40     0    45    22     0     1     0      60  )
    41     0    45    23     0     1     0      59  (
    42     0    45    24     0     1     0      59  (
    43     0    45    25     0     1     0     111  x
    44     0    45    27     0     1     0      90  <<
    45     0    45    30     0     1     0     112  8
    46     0    45    31     0     1     0      60  )
    47     0    45    33     0     1     0      96  |
    48     0    46    24     0     1     0      59  (
    49     0    46    25     0     1     0      59  (
    50     0    46    26     0     1     0      40  char
    51     0    46    30     0     1     0      60  )
    52     0    46    31     0     1     0     111  x
    53     0    46    33     0     1     0      86  >>>
    54     0    46    37     0     1     0     112  8
    55     0    46    38     0     1     0      60  )
    56     0    46    39     0     1     0      60  )
    57     0    46    40     0     1     0     102  ;
    58     0    47     5     0     1     0      64  }
    59     0    47     5     0     1     0     126  ENDMETHOD
    60     0    47     5     0     2     0     127  STARTMETHOD
    61     0    49     5     0     2     0      45  static
    62     0    49    12     0     2     0      40  char
    63     0    49    17     0     2     0     111  swap
    64     0    49    21     0     2     0      59  (
    65     0    49    22     0     2     0      40  char
    66     0    49    27     0     2     0     111  x
    67     0    49    28     0     2     0      60  )
    68     0    49    30     0     2     0      63  {
    69     0    50     9     0     2     0      19  return
    70     0    50    16     0     2     0      59  (
    71     0    50    17     0     2     0      40  char
    72     0    50    21     0     2     0      60  )
    73     0    50    22     0     2     0      59  (
    74     0    50    23     0     2     0      59  (
    75     0    50    24     0     2     0     111  x
    76     0    50    26     0     2     0      90  <<
    77     0    50    29     0     2     0     112  8
    78     0    50    30     0     2     0      60  )
    79     0    50    32     0     2     0      96  |
    80     0    51    23     0     2     0      59  (
    81     0    51    24     0     2     0     111  x
    82     0    51    26     0     2     0      86  >>>
    83     0    51    30     0     2     0     112  8
    84     0    51    31     0     2     0      60  )
    85     0    51    32     0     2     0      60  )
    86     0    51    33     0     2     0     102  ;
    87     0    52     5     0     2     0      64  }
    88     0    52     5     0     2     0     128  ENDMETHOD
    89     0    52     5     0     3     0     129  STARTMETHOD
    90     0    54     5     0     3     0      45  static
    91     0    54    12     0     3     0      36  int
    92     0    54    16     0     3     0     111  swap
    93     0    54    20     0     3     0      59  (
    94     0    54    21     0     3     0      36  int
    95     0    54    25     0     3     0     111  x
    96     0    54    26     0     3     0      60  )
    97     0    54    28     0     3     0      63  {
    98     0    55     9     0     3     0      19  return
    99     0    55    16     0     3     0      59  (
   100     0    55    17     0     3     0      59  (
   101     0    55    18     0     3     0     111  x
   102     0    55    20     0     3     0      90  <<
   103     0    55    23     0     3     0     112  24
   104     0    55    25     0     3     0      60  )
   105     0    55    27     0     3     0      96  |
   106     0    56    17     0     3     0      59  (
   107     0    56    18     0     3     0      59  (
   108     0    56    19     0     3     0     111  x
   109     0    56    21     0     3     0      99  &
   110     0    56    23     0     3     0     112  0x0000ff00
   111     0    56    33     0     3     0      60  )
   112     0    56    35     0     3     0      90  <<
   113     0    56    39     0     3     0     112  8
   114     0    56    40     0     3     0      60  )
   115     0    56    42     0     3     0      96  |
   116     0    57    17     0     3     0      59  (
   117     0    57    18     0     3     0      59  (
   118     0    57    19     0     3     0     111  x
   119     0    57    21     0     3     0      99  &
   120     0    57    23     0     3     0     112  0x00ff0000
   121     0    57    33     0     3     0      60  )
   122     0    57    35     0     3     0      86  >>>
   123     0    57    39     0     3     0     112  8
   124     0    57    40     0     3     0      60  )
   125     0    57    42     0     3     0      96  |
   126     0    58    17     0     3     0      59  (
   127     0    58    18     0     3     0     111  x
   128     0    58    20     0     3     0      86  >>>
   129     0    58    24     0     3     0     112  24
   130     0    58    26     0     3     0      60  )
   131     0    58    27     0     3     0      60  )
   132     0    58    28     0     3     0     102  ;
   133     0    59     5     0     3     0      64  }
   134     0    59     5     0     3     0     130  ENDMETHOD
   135     0    59     5     0     4     0     131  STARTMETHOD
   136     0    61     5     0     4     0      45  static
   137     0    61    12     0     4     0      53  long
   138     0    61    17     0     4     0     111  swap
   139     0    61    21     0     4     0      59  (
   140     0    61    22     0     4     0      53  long
   141     0    61    27     0     4     0     111  x
   142     0    61    28     0     4     0      60  )
   143     0    61    30     0     4     0      63  {
   144     0    62     9     0     4     0      19  return
   145     0    62    16     0     4     0      59  (
   146     0    62    17     0     4     0      59  (
   147     0    62    18     0     4     0      59  (
   148     0    62    19     0     4     0      53  long
   149     0    62    23     0     4     0      60  )
   150     0    62    24     0     4     0     111  swap
   151     0    62    28     0     4     0      59  (
   152     0    62    29     0     4     0      59  (
   153     0    62    30     0     4     0      36  int
   154     0    62    33     0     4     0      60  )
   155     0    62    34     0     4     0     111  x
   156     0    62    35     0     4     0      60  )
   157     0    62    37     0     4     0      90  <<
   158     0    62    40     0     4     0     112  32
   159     0    62    42     0     4     0      60  )
   160     0    62    44     0     4     0      96  |
   161     0    63    17     0     4     0      59  (
   162     0    63    18     0     4     0      59  (
   163     0    63    19     0     4     0      53  long
   164     0    63    23     0     4     0      60  )
   165     0    63    24     0     4     0     111  swap
   166     0    63    28     0     4     0      59  (
   167     0    63    29     0     4     0      59  (
   168     0    63    30     0     4     0      36  int
   169     0    63    33     0     4     0      60  )
